Parcel ID,Address,,,
871607306010, 303 I AVE ,,,
871607306011, 301 I AVE ,,,
871607354007, 1206 4TH ST ,,,
871712431008, 505 I AVE ,,,
871607351002, 212 K AVE ,,,
871712478007, 1208 5TH ST ,,,
871607306007, 808 FROST ST ,,,
871607306008, 307 I AVE ,,,
871607328006, 310 E M Ave,,,
871712483010, 501 HYDE AVE ,,,
871607306005, 302 H AVE ,,,
871607305003, 314 H AVE ,,,
871712483006, 411 Hyde Ave,,,
871712428020, 403 H AVE ,,,
871712428017, 708 5TH ST ,,,
871607328001, 302 E H AVE ,,,
871607302001, 310 G AVE ,,,
871607354006, 1204 4TH ST ,,,
871607354005, 1202 4TH ST ,,,
871607305005, 803 FROST ST ,,,
871607354019, 1104 4TH ST ,,,
871607314003, 212 J AVE ,,,
871607352009, 202 K AVE ,,,
871607301008, 313 H AVE ,,,
871712483005, 502 BUTLER AVE ,,,
871712433001, 320 H AVE ,,,
871712428006, 404 G AVE ,,,
871607326002, 206 G AVE ,,,
871607327001, 702 E 1ST ST ,,,
871607302008, 305 H AVE ,,,
871712428009, 705 4TH ST ,,,
871712436007, 409 J AVE ,,,
871607354012, 104 K AVE ,,,
871607354008, 1304 4TH ST ,,,
871712436004, 404 I AVE ,,,
871607328010, 307 E I AVE ,,,
871607309003, 901 FROST ST ,,,
871607306012, 304 H AVE ,,,
871607304002, 704 2 ST ,,,
871607301005, 703 FROST ST ,,,
871607326001, 106 E G AVE ,,,
871712429006, 706 4TH ST ,,,
871607310004, 903 3 ST ,,,
871712439017, 407 K AVE ,,,
871712432002, 406 H AVE ,,,
871712432001, 410 H AVE ,,,
871607306002, 308 H AVE ,,,
871607352011, 204 K AVE APT 5 ,,,
871607312007, 202 I AVE ,,,
871712431009, 503 I AVE ,,,
871712431010, 805 5TH ST ,,,
871712431007, 509 I AVE ,,,
871607314006, 211 K AVE ,,,
871712428007, 402 G AVE ,,,
871607301010, 311 H AVE ,,,
871607309002, 316 I AVE ,,,
871607314001, 1006 3 ST ,,,
871607310001, 902 FROST ST ,,,
871607354020, 1102 4TH ST ,,,
871607315009, 105 K AVE ,,,
871607351001, 218 K AVE ,,,
871607328005, 310 E H AVE ,,,
871607314002, 214 J AVE ,,,
871712435007, 908 6TH ST ,,,
871607305009, 809 FROST ST ,,,
871712481009, 1309 5TH ST ,,,
871712483007, 404 BUTLER AVE ,,,
871607314004, 206 J AVE ,,,
871712483004, 504 BUTLER AVE ,,,
871607312008, 217 J AVE ,,,
871712436010, 403 J AVE ,,,
871712432004, 801 4TH ST ,,,
871607304006, 708 2 ST ,,,
871607302002, 704 FROST ST ,,,
871607308006, 808 2ND ST ST ,,,
871712435002, 508 I AVE ,,,
871607353001, 104 K AVE ,,,
871712483002, 1406 6TH ST ,,,
871712483013, 1407 4TH ST ,,,
871712431013, 806 6TH ST ,,,
871607306001, 310 H AVE ,,,
871712432005, 804 5TH ST ,,,
871712431003, 506 H AVE ,,,
871607303006, 205 H AVE ,,,
871607302010, 705 3 ST ,,,
871607305002, 316 H AVE ,,,
871712431001, 802 6TH ST ,,,
871712477012, 1111 5TH ST ,,,
871712429004, 708 4TH ST ,,,
871712427008, 503 H AVE ,,,
871712432009, 805 4TH ST ,,,
871712439004, 1010 6TH ST ,,,
871607306009, 305 I AVE ,,,
871712428005, 406 G AVE ,,,
871712435010, 501 J AVE ,,,
871712477019, 1104 6TH ST ,,,
871607302011, 301 H AVE ,,,
871712439011, 402 J AVE ,,,
871607308004, 102 H AVE ,,,
871607354002, 306 K AVE ,,,
871712481005, 504 M AVE ,,,
871607310002, 901 3 ST ,,,
871712432008, 405 I AVE ,,,
871712431012, 508 H AVE ,,,
871712481010, 1306 6TH ST ,,,
871712478003, 1108 5TH ST ,,,
871607308002, 804 2 ST ,,,
871712432003, 404 H AVE ,,,
871607309001, 318 I AVE ,,,
871712428008, 4TH ST ,,,
871607302009, 303 H AVE ,,,
871607312006, 204 I AVE ,,,
871607302006, 706 FROST ST ,,,
871607307001, 210 H AVE ,,,
871607304001, 110 G AVE ,,,
871607306006, 803 3 ST ,,,
871712478018, 1209 4TH ST ,,,
871712483001, 1402 6TH ST ,,,
871607312012, 207 J AVE ,,,
871712427004, 706 6TH ST ,,,
871607310003, 904 FROST ST ,,,
871607315003, 102 I AVE ,,,
871712477013, 1203 5TH ST ,,,
871712435006, 906 6TH ST ,,,
871607312001, 902 3 ST ,,,
871607328008, 303 E I AVE ,,,
871712478016, 1109 4TH ST ,,,
871607308008, 101 I AVE ,,,
871607307004, 204 H AVE ,,,
871712482007, 413 BUTLER AVE ,,,
871712439015, 411 K AVE ,,"VOSS (Deed) VOSS, WENDELL D & TRACY LAWLESS",VOSS (Mail To)
871607307006, 806 3 ST ,,,
871607326006, 102 E G AVE ,,,
871712435008, 507 J AVE ,,"DAY, MARY LEE (Deed) KERSTEN, MARY LEE (Mail To)",
871712439003, 1008 6TH ST ,,,
871712431011, 501 I AVE ,,,
871712431005, 801 5TH ST ,,,
871607327009, 309 E H AVE ,,,
871712439021, 505 K AVE ,,,
871712482012, 403 Butler Ave,,,
871607327011, 306 E G AVE UNIT 1 ,,,
871712478006, 1206 5TH ST ,,,
871607312003, 212 I AVE ,,,
871712427006, 507 H AVE ,,,
871712427009, 501 H AVE ,,,
871712439016, 409 K AVE ,,,
871712478008, 409 M AVE ,,,
871607315007, 1002 2 ST ,,,
871607354017, 1208 4TH ST ,,,
871712433002, 804 4TH ST ,,,
871712429002, 704 4TH ST ,,,
871712483012, 409 HYDE AVE ,,,
871607315010, 1003 1ST ST ,,,
871607312004, 208 I AVE ,,,
871712432006, 409 I AVE ,,,
871607303002, 208 G AVE ,,,
871607354016, 304 K AVE ,,,
871607301001, 318 G AVE ,,,
871607307002, 208 H AVE ,,,
871712428016, 409 H AVE ,,,
871607352012, 204 K AVE APT 6 ,,,
871712428003, 410 G AVE ,,,
871607351003, 210 K AVE ,,,
871712427010, 508 G AVE ,,,
871607354030, 205 M AVE ,,,
871607302003, 308 G AVE ,,,
871607328012, 311 E I AVE ,,,
871712482011, 403 BUTLER AVE ,,,
871712427005, 708 6TH ST ,,,
871607305007, 317 I AVE ,,,
871712481008, 503 BUTLER AVE ,,,
871607328002, 304 E H AVE ,,,
871712481001, 1302 6TH ST ,,,
871607328007, 806 E 1ST ST ,,,
871607354063, 201 M AVE ,,,
871607315004, 906 2 ST ,,,
871607302007, 309 H AVE ,,,
871607328011, 309 E I AVE ,,,
871607327003, 308 E G AVE ,,,
871607302005, 302 G AVE ,,,
871712437001, 320 I AVE ,,,
871712478005, 1202 5TH ST ,,,
871607308007, 105 I AVE ,,,
871607301007, 315 H AVE ,,,
871712477011, 1109 5TH ST ,,,
871712429001, 320 G AVE ,,,
871607309006, 317 J AVE ,,,
871607304009, 705 1ST ST ,,,
871607354040, 106 M AVE ,,,
871607312013, 205 J AVE ,,,
871607327006, 303 E H AVE ,,,
871607305004, 312 H AVE ,,,
871712477020, 502 K AVE ,,,
871712428004, 408 G AVE ,,,
871607311001, 906 FROST ST ,,,
871607304008, 103 H AVE ,,,
871712482001, 414 M AVE ,,,
871607328009, 305 E I AVE ,,,
871712478017, 1205 4TH ST ,,,
871712436013, 402 I AVE ,,,
871712439028, 412 J AVE ,,,
871712482013, 402 M AVE ,,,
871607309005, 319 J AVE ,,,
871607301004, 312 G AVE ,,,
871712477004, 1202 6TH ST ,,,
871712439019, 401 K AVE ,,,
871607354037, 1209 1ST ST ,,,
871607307011, 201 I AVE ,,,
871607314007, 207 K AVE ,,,
871607328003, 306 E H AVE ,,,
871712482009, 405 Butler Ave,,,
871607307003, 206 H AVE ,,,
871607354062, 212 M AVE ,,,
871607312011, 209 J AVE ,,,
871712482010, 405 BUTLER AVE ,,,
871712427003, 504 G AVE ,,,
871607301002, 316 G AVE ,,,
871712439026, 504 J AVE ,,,
871712435004, 502 I AVE ,,,
871712439009, 408 J AVE ,,,
871607309007, 903 FROST ST ,,,
871607301003, 314 G AVE ,,,
871712477014, 1205 5TH ST ,,,
871607327014, 306 E G AVE UNIT 4 ,,,
871607352014, 204 K AVE APT 8 ,,,
871607314008, 205 K AVE ,,,
871607328004, 308 E H AVE ,,,
871607314005, 202 J AVE ,,,
871712439025, 413 K AVE ,,,
871607308001, 802 2 ST ,,,
871712483011, 411 HYDE AVE ,,,
871607354042, 202 M AVE ,,,
871712482008, 411 BUTLER AVE ,,,
871607327005, 301 E H AVE ,,,
871607315006, 905 1ST ST ,,,
871712478001, 412 K AVE ,,,
871712435003, 506 I AVE ,,,
871607354034, 107 M AVE ,,,
871607312002, 216 I AVE ,,,
871607307008, 207 I AVE ,,,
871607354046, 208 M AVE ,,,
871712428011, 407 H AVE ,,,
871607312005, 206 I AVE ,,,
871607309004, 904 4TH ST ,,,
871712478002, 1106 5TH ST ,,,
871712482002, 412 M AVE ,,,
871607304013, 102 G AVE ,,,
871712435009, 505 J AVE ,,,
871712432007, 407 I AVE ,,,
871712477021, 1204 6TH ST ,,,
871712439010, 406 J AVE ,,,
871712427007, 505 H AVE ,,,
871607312010, 211 J AVE ,,,
871607303004, 209 H AVE ,,,
871607303003, 202 G AVE ,,,
871712431004, 504 H AVE ,,,
871607352010, 206 K AVE ,,,
871712481007, 505 BUTLER AVE ,,,
871712478013, 1101 4TH ST ,,,
871712439018, 403 K AVE ,,,
871607305001, 318 H AVE ,,,
871712432010, 403 I AVE ,,,
871712478012, 404 K AVE ,,,
871607303001, 210 G AVE ,,,
871607329001, 310 E I AVE ,,,
871607354027, 211 M AVE ,,,
871712481002, 1304 6TH ST ,,,
871712477003, 1110 6TH ST ,,,
871712435001, 510 I AVE ,,,
871607315005, 908 2 ST ,,,
871712482003, 408 M AVE ,,,
871712482004, 309 East H Ave,,,
871712432011, 401 I AVE ,,,
871712439001, 508 J AVE ,,,
871712428019, 412 G AVE ,,,
871712435005, 903 5TH ST ,,,
871607354036, 103 M AVE ,,,
871712483014, 509 HYDE AVE ,,,
871712477008, 1210 6TH ST ,,,
871607327013, 306 E G AVE UNIT 3 ,,,
871607312009, 213 J AVE ,,,
871607327004, 310 G AVE ,,,
871607304007, 105 H AVE ,,,
871712433003, 321 I AVE ,,,
871607327008, 307 E H AVE ,,,
871712436008, 407 J AVE ,,,
871712477016, 1209 5TH ST ,,,
871607302004, 304 G AVE ,,,
871607315002, 106 I AVE ,,,
871607354041, 108 M AVE ,,,
871607327007, 305 E H AVE ,,,
871712478015, 1107 4TH ST ,,,
871607327012, 306 E G AVE UNIT 2 ,,,
871712436009, 405 J AVE ,,,
871607312015, 201 J AVE ,,,
871607352013, 204 K AVE APT 7 ,,,
871607354015, 302 K AVE ,,,
871712478004, 1110 5TH ST ,,,
871712478011, 406 K AVE ,,,
871607354028, 209 M AVE ,,,
871607305006, 319 I AVE ,,,
871607307009, 205 I AVE ,,,
871712439002, 1004 6TH ST ,,,
871712436014, J AVE ,,,
871712478014, 1103 4TH ST ,,,
871712477002, 1106 6TH ST ,,,
871607354023, 4TH ST (REAR LAND) ,,,
871607354045, 206 M AVE ,,,
871607326004, 804 E 1ST ST ,,,
871712439008, 410 J AVE ,,,
871607354024, 1106 4TH ST ,,,
871712436006, 904 5TH ST ,,,
871607304010, 101 H AVE ,,,
871607309009, 313 J AVE ,,,
871607315001, 108 I AVE ,,,
871607312014, 905 2 ST ,,,
871712436001, 410 I AVE ,,,
871712477018, 1208 6TH ST ,,,
871607315008, 1004 2 ST ,,,
871607308003, 106 H AVE ,,,
871712436003, 406 I AVE ,,,
871607354057, 306 M AVE ,,,
871607304011, 706 2 ST ,,,
871607354060, 204 M AVE ,,,
871712428018, 706 5TH ST ,,,
871607354056, 301 M AVE ,,,
871607305008, 315 I AVE ,,,
871712477010, 1107 5TH ST ,,,
871607307010, 805 2 ST ,,,
871607354047, 210 M AVE ,,,
871607303005, 207 H AVE ,,,
871607307005, 202 H AVE ,,,
871607354039, 104 M AVE ,,,
871607303007, 203 H AVE ,,,
871607307007, 209 I AVE ,,,
871607354035, 105 M AVE ,,,
871607304004, 106 G AVE ,,,
871607309008, 905 FROST ST ,,,
871607308005, 803 1ST ST ,,,
871607354055, 303 M AVE ,,,
871607354029, 207 M AVE ,,,
871712478009, 407 M AVE ,,,
871712477015, 1207 5TH ST ,,,
871712481006, 1301 5TH ST ,,LANG (Deed),
871712436002, 408 I AVE ,,,
871607354058, 302 M AVE ,,,
871607354038, 1301 1ST ST ,,,
871712478010, 408 K AVE ,,,
871712483008, 1401 4TH ST ,,,
871607326802, 101 E J AVE ,,,
